"Planet_idx":"Planet_name":"Star_code":"mass (earth)":"density (earth)":"radius":"TYPE_TERRAIN":"Climate Type"
1:"Kirei Dionysios":5269:8,97:0,996:missing:"jungle; volcano":"artic; hot; humid; subartic"
229:"Athebyne Shi":8854:1,72:1,169:1,14:"acid pool; vine":"humid; tropical; arid; artic; windy; hot"
230:"Athebyne Ba":8854:missing:0,653:2,16:"acid pool; desert; cityscape; tundra; lava river; lakes; canyons; rainforest; forest":"arid; subartic; humid; tropical; superheated; frigid"
231:"Athebyne Er":8854:2,52:0,885:1,42:"ash":"rocky; tropical; windy; hot"
232:"Cosmoflare II":7014:2,23:0,895:1,36:"cityscape; ice cave; acid pool; cave; jungle; ice canyon":"subartic; rocky; hot; tropical; frigid; frozen; artic"
233:"Cosmoflare XX":7014:3,06:1,058:1,42:"valley; cityscape; rocky desert":"arid; windy; frozen"
234:"Cosmoflare VI":7014:2,03:1,089:1,23:"grassy hill; volcano; lakes; ash":"arid; frozen; superheated; hot; artic; subartic; frigid"
235:"Cosmoflare IV":7014:2,22:0,93:1,34:"cave; ocean; forest; bog":"arid; rocky; hot; subartic; frozen; artificial temperate"
236:"Fjordfall Yi":7356:missing:1,335:1,77:"lakes; plateau; valley":"artic; subartic"
237:"Icewind Theta":5160:3,01:1,029:1,43:"sea":"frigid; arid; temperate; frozen; subartic"
238:"Icewind Nu":5160:0,5:0,704:0,89:"hill; cliff; verdant; lakes":"temperate; subartic; rocky; superheated"
239:"Mekbuda VIII":4646:4,82:1,192:1,59:"bog":"hot; temperate; tropical; superheated"
240:"Mekbuda XIII":4646:5,81:0,755:1,97:"ice canyon; volcano; rock arche; ice cave; reef; cityscape; hill; verdant":"arid; frozen; frigid; temperate; hot"
241:"Ashlesha Omicron":843:2,35:0,639:1,54:"rocky desert; volcano; forest":"artic; hot; rocky; frigid; artificial temperate"
242:"Cryptic Mirage Er":2812:7,29:0,663:2,22:"canyons; fungus forest; cliff; rocky island; savanna":"frozen; temperate; rocky; humid; windy; tropical"
243:"Samurai's Mirage Sirenios":5430:5,34:1,184:1,65:"ash; verdant":"hot; subartic; artic"
244:"Samurai's Mirage Psychean":5430:0,82:0,486:1,19:"hill; cliff; urban":"rocky; windy; frozen; tropical"
245:"Samurai's Mirage Faunios":5430:0,48:0,512:0,98:"verdant; grassy hill; valley; plain; canyons; rock arche; plateau; hill":"humid; subartic; arid; tropical; hot"
246:"Samurai's Mirage Museios":5430:6,36:0,706:2,08:"rainforest; forest; reef; tundra; cave":"rocky; frigid; arid; superheated"
247:"Quantronix Mu":3185:1,61:0,891:1,22:"canyons":"rocky; artic; frozen; subartic; windy"
248:"Menkib Echoian":9090:4,58:1,087:1,61:"vine":"windy; temperate; rocky; frigid; frozen"
249:"Menkib Poseidian":9090:1,89:0,79:1,34:"mountain; cityscape":"frigid"
250:"Exoplantra Quintal":8711:1,4:1,089:1,09:"canyons; volcano; lakes":"windy; subartic; frigid; arid; humid; superheated"
251:"Exoplantra Prime":8711:4,66:0,949:1,7:"city":"superheated; windy; tropical; temperate; frozen"
252:"Astrolithium Aphroditos":7980:1:1,386:0,9:"island; vine; hill; reef; ocean":"arid; humid; rocky"
253:"Fafnir Sigma":9505:1,42:1,358:1,01:"savanna; ocean; plateau":"frozen; rocky; frigid; humid; subartic; artic"
254:"Fafnir Rho":9505:4,27:1,043:missing:"desert; field; swamp":"rocky; subartic; artic; frigid; artificial temperate; humid; temperate"
255:"Fafnir Mu":9505:0,71:1,085:missing:"valley; city; rock arche; verdant; island":"rocky; artificial temperate; temperate; frozen"
256:"Haruka Harpian":8292:1,63:1,023:1,17:"tundra; rock arche; savanna; urban":"artic; subartic; superheated"
257:"Berserkr XVII":5140:8,47:1,022:2,02:"field":"tropical; artificial temperate"
258:"Berserkr XX":5140:1,73:1,263:1,11:"ice canyon; ice cave; swamp; cliff; lava river; mountain; cave; island":"humid; rocky; windy; hot; frigid; arid"
259:"Astral Mirage Hermesios":1066:2,26:0,77:1,43:"ice canyon; cityscape; swamp; hill; rainforest; ice cave; fungus forest":"temperate; artificial temperate; subartic; frozen; tropical; windy"
260:"Astral Mirage Irisian":1066:2,21:0,99:1,31:"plain":"tropical; hot; windy"
261:"Vortexion Dionysios":7538:2,18:0,976:1,31:"plain":"windy; frozen; artic; subartic"
262:"Tsuki's Beacon XXII":1435:8,69:0,591:2,45:"acid pool; verdant; rocky desert; field; plateau; ice canyon; valley; bog":"hot; temperate; artic; frozen; artificial temperate"
263:"Reikon Resonance Cerberian":8406:1,59:0,929:1,2:"field; tundra; island; city; jungle; valley; reef":"temperate; tropical; subartic; frigid; rocky"
264:"Arkab Posterior Chi":2583:2,19:0,946:1,32:"cave; plain; field":"humid; arid; artic; superheated"
265:"Arkab Posterior Iota":2583:1,34:0,841:1,17:"bog; rocky desert":"frigid; tropical; hot; superheated; arid"
266:"Arkab Posterior Alpha":2583:1,86:1,281:1,13:"sea; plateau":"artic; frigid; windy"
267:"Acamar Janusian":3158:6,83:1,118:1,83:"canyons":"rocky; tropical; temperate"
268:"Ignitara Demetrian":8270:0,54:1,42:0,72:"urban; volcano":"windy; humid; frigid; arid; frozen"
269:"Eonara Wu":5165:1,56:0,843:1,23:"forest; verdant; cityscape":"windy; tropical; superheated"
270:"Cosmic Enigma Rho":2092:1,42:0,924:1,15:"island; swamp; urban":"tropical; temperate"
271:"Ginan Delta":6405:2,85:0,95:1,44:"sea; plateau":"frigid; subartic; hot"
272:"Ginan Epsilon":6405:4,14:0,982:1,62:"glacier; lakes; grassy hill; ocean; rainforest":"temperate; tropical; artic"
273:"Oakenshield Prime":4696:7,49:1,052:1,92:"rainforest; canyons; vine; plateau; grassland; ocean; lakes; bog; urban":"artificial temperate; humid; temperate; superheated; hot; tropical"
274:"Oakenshield Undecimal":4696:4,81:1,35:1,53:"sea; rocky canyon; jungle; cliff":"superheated; frozen; temperate; tropical"
275:"Chamukuy Shi":6167:3,21:0,945:1,5:"jungle":"windy; arid; tropical"
276:"Chamukuy Qi":6167:1,27:1,395:0,97:"ice cave; desert; verdant; rock arche; rocky island; ocean":"humid; arid; tropical; frigid; frozen"
277:"Chamukuy Er":6167:1,94:1,248:1,16:"ice canyon; mountain; rocky desert; island; sinkholes; city; cityscape":"arid; temperate; subartic; hot; frigid"
278:"Chamukuy Ba":6167:3,99:1,25:1,47:"verdant; cityscape":"artic; rocky"
279:"Nihal Wu":2619:0,46:0,973:0,78:"desert; bog; tundra; rainforest; island; barren; acid pool":"tropical; artificial temperate; artic; hot; arid"
280:"Nihal Qi":2619:1,77:1,336:1,1:"ice cave; cliff; lava river; rainforest; grassland; savanna; sea; plain":"subartic; temperate; artificial temperate; humid; arid; frigid; rocky"
281:"Nihal Liu":2619:0,64:1,077:0,84:"fungus forest; rocky canyon; plateau":"windy; artic; humid; tropical; frozen; temperate"
282:"Anubis' Radiance Alpha":4290:3,14:0,954:1,49:"sea":"frigid; frozen"
283:"Canopus Lambda":9780:2,17:0,504:missing:"glacier; canyons; fungus forest":"tropical; rocky; artic; arid; windy"
284:"Canopus Zeta":9780:3,06:1,244:1,35:"cityscape; bog; acid pool; hill; lakes; ice canyon; plateau; savanna":"frozen; humid; frigid; hot; tropical; artic; superheated"
285:"Canopus Iota":9780:4,52:0,987:1,66:"cave; forest; barren":"humid; frozen; artificial temperate; arid"
286:"Canopus Eta":9780:0,9:0,807:1,04:"lakes; swamp; cave":"temperate; arid; artificial temperate; windy; tropical; humid; rocky"
287:"Rastaban Eta":2532:missing:1,017:0,86:"rocky canyon; grassland; swamp":"temperate; artificial temperate; hot; tropical"
288:"Rastaban Iota":2532:0,65:0,539:1,06:"tundra; vine; rocky desert; verdant":"arid; artic; frozen; windy"
289:"Nebulionara Chimeraean":5587:2,39:0,931:1,37:"grassy hill; ocean; acid pool":"rocky; temperate; tropical; humid; artificial temperate; arid; windy"
290:"Galaxaraith Er":7612:2,24:0,957:1,33:"city; river; cliff":"windy; rocky; subartic; frigid; arid"
291:"Galaxaraith Shi":7612:7,69:0,987:1,98:"desert; verdant; ash; rocky canyon; acid pool":"tropical; arid; temperate; frozen; subartic; humid; superheated"
292:"Galaxaraith Qi":7612:3,28:1,065:1,45:"ocean":"tropical"
293:"Alioth Kappa":7853:5,6:0,773:1,94:"plain; rocky desert":"tropical; frozen; windy"
294:"Altais Eta":1715:0,97:1,545:0,86:"rock arche; vine; ash; sinkholes":"superheated; windy; tropical; rocky; arid; hot"
295:"Altais Sigma":1715:8,47:0,843:2,16:"rocky canyon":"arid; artic"
296:"Berehynia Wu":1929:0,92:1,02:0,97:"jungle; river; bog; valley; acid pool; ash; rock arche; fungus forest; ice canyon":"superheated; artificial temperate; humid; hot; rocky; frigid; tropical"
297:"Berehynia Jiu":1929:6,26:1,284:1,7:"lakes; grassy hill; mountain; canyons; toxic cloudsea; bog":"frigid; windy; frozen; hot; rocky; superheated"
298:"Citadelle Shi":8204:9,15:1,134:2,01:"field; river; glacier":"tropical; frigid; rocky"
299:"Citadelle Wu":8204:3,3:1,207:1,4:"jungle; bog; river; plateau; cliff":"temperate; superheated; tropical; artificial temperate"
300:"Citadelle Jiu":8204:1,5:1,087:1,11:"cityscape; ocean; verdant":"hot; frozen; windy; artificial temperate; arid"
301:"Errai VIII":7928:1,98:0,874:1,31:"ice canyon; forest; plateau; sea; grassland; river; ash":"temperate; hot; rocky; frozen; artic; windy"
302:"Errai XVIII":7928:0,58:0,74:0,92:"urban; cave; jungle":"rocky; humid; windy"
303:"Errai V":7928:4,87:0,778:1,84:"hill; vine; sinkholes; rock arche":"artificial temperate; hot; temperate; superheated; tropical"
304:"Errai IV":7928:1,35:1,096:1,07:"lakes":"rocky; artic; temperate"
305:"Sakuya Nebula Delta":7820:7,96:0,728:2,22:"plateau; rocky desert; acid pool":"arid; superheated; artificial temperate"
306:"Sakuya Nebula Psi":7820:7,91:1,205:1,87:"swamp; savanna":"windy; arid; artic; temperate; rocky; tropical"
307:"Deneb XXII":4947:3,45:1,128:1,45:"valley; grassy hill; verdant; cave; urban":"artificial temperate; artic; subartic"
308:"Deneb XII":4947:1,29:0,809:1,17:"ice cave; savanna":"frozen; frigid; artificial temperate; humid; arid; tropical"
309:"Deneb XIV":4947:3,02:0,858:1,52:"rock arche":"arid"
310:"Aetherionis Olympus":3318:3,12:0,987:1,47:"cliff; vine; rocky canyon":"arid; temperate"
311:"Stardrax Phi":4221:1,05:0,418:1,36:"ice canyon; urban; bog; reef; ocean; rock arche":"tropical; artic; frigid; frozen; subartic"
312:"Stardrax Mu":4221:5,74:0,932:1,83:"hill; urban; toxic cloudsea":"rocky; frozen"
313:"Stardrax Sigma":4221:1,1:1,301:0,95:"island; cave; ocean; river":"rocky; humid; superheated"
314:"Stardrax Iota":4221:3,47:1,277:1,4:"island; fungus forest; ocean; jungle":"tropical; temperate; arid; frozen; artificial temperate"
315:"Stardrax Rho":4221:4,88:1,14:1,62:"scrubland":"arid; hot"
316:"Cosmic Gaze Aphroditos":4835:6,01:0,957:1,84:"plateau":"rocky; hot; artic; tropical; arid"
317:"Cosmic Gaze Nereidos":4835:3,22:0,976:1,49:"sea; canyons":"windy; frozen; subartic; temperate"
318:"Acubens Eta":1418:7,71:1,234:missing:"rock arche; river":"hot; arid; artic; windy"
319:"Cleopatra's Expanse Artemian":2858:1,74:1,235:1,12:"sea":"subartic; temperate; superheated; tropical"
320:"Markeb Dionian":2079:3,8:1,573:1,34:"island; ice cave; barren; jungle; fungus forest; bog; river; rock arche; rocky canyon":"arid; frigid; superheated; hot; rocky; temperate"
321:"Markeb Centaurios":2079:3,13:0,942:1,49:"savanna; island; forest; grassy hill; urban":"rocky; arid; artificial temperate; windy"
322:"Markeb Herculean":2079:2,71:0,599:1,65:"urban; lakes; hill; rocky canyon; savanna":"hot; artificial temperate; humid"
323:"Markeb Aetherios":2079:0,38:0,778:0,79:"lakes; jungle; sinkholes; island; forest":"hot; tropical; windy; rocky"
324:"Markeb Gaios":2079:3,32:0,822:1,59:"island; mountain; ice cave; plain; hill; desert":"subartic; arid; frigid; frozen"
325:"Sakura Mirage Gamma":7553:missing:1,462:1,01:"cityscape; verdant; rocky canyon; forest":"subartic; temperate; windy; humid"
326:"Zhang Helios":3621:2,33:0,936:1,36:"jungle; acid pool":"artic; superheated; humid; hot"
327:"Zhang Cerberian":3621:2,4:1,413:1,19:"rocky desert; river; toxic cloudsea":"humid; frozen"
328:"Zhang Nemesisian":3621:4,11:0,525:1,99:"glacier; valley; canyons":"frigid; superheated; windy"
329:"Siriusith Wu":2515:2,16:1,346:1,17:"island":"tropical; superheated"
330:"Siriusith San":2515:2,7:1,254:1,29:"desert; savanna; plateau":"arid; artic"
331:"Yozora Quintal":1635:1,45:1,054:1,11:"city":"temperate; artificial temperate; tropical; artic"
332:"Yozora Prime":1635:1,82:1,499:1,07:"ice canyon; canyons; acid pool; fungus forest; cliff; tundra; jungle; forest":"artificial temperate; artic; tropical; frigid; rocky; superheated"
333:"Nebulium Pegasusian":1723:1,3:1,139:missing:"rock arche; cliff; island":"temperate; frozen"
334:"Zubenelhakrabi XIX":6433:7,33:1,3:1,78:"forest; grassy hill; mountain; cliff; plateau; verdant; cityscape":"temperate; arid; superheated; humid; subartic; frozen; tropical"
335:"Zubenelhakrabi XIV":6433:1,79:0,88:1,27:"island; vine; tundra; rock arche; ocean":"temperate; frigid; artificial temperate"
336:"Zubenelhakrabi X":6433:5,15:1,069:1,69:"acid pool; rock arche; rainforest; sinkholes; urban; scrubland; mountain; savanna":"superheated; temperate; subartic; frozen; artificial temperate; arid"
337:"Zubenelhakrabi XVII":6433:0,52:1,059:0,79:"verdant":"temperate; rocky; artic; frozen"
338:"Novaflame XX":4679:5,96:1,096:1,76:"sinkholes":"rocky; superheated; hot; artic; windy"
339:"Thuban Tertial":5331:7,66:1,187:1,86:"city; volcano; acid pool":"humid; artic; frozen; arid"
340:"Alsafi Gamma":8654:5,23:0,82:1,85:"plain; vine":"humid; tropical"
341:"Palladium Shroud Shi":6010:3,08:1,02:1,45:"bog; rock arche; jungle; swamp":"superheated; subartic; humid; artificial temperate"
342:"Palladium Shroud Jiu":6010:1,17:1,113:1,02:"rocky canyon":"artificial temperate; superheated; windy"
343:"Palladium Shroud Si":6010:6,72:0,676:2,15:"reef; hill; ocean; glacier":"rocky; frigid; artificial temperate; hot; windy"
344:"Cimmerian Veil Upsilon":5314:5,51:1,282:1,63:"mountain; acid pool; cityscape; lakes; grassland; rock arche; river; lava river":"hot; artificial temperate; frozen; temperate; subartic; artic"
345:"Nyamien Vigesimal":116:2,82:1,257:1,31:"plateau":"humid; frigid; hot"
346:"Hannya's Silence Decimal":2645:1,13:0,997:missing:"volcano":"frozen; hot"
347:"Heliconian Mirage XXIII":1553:2,6:1,164:1,31:"rainforest; valley":"tropical; temperate"
348:"Vortexian Quintal":486:1,93:1,322:1,13:"jungle":"artificial temperate; arid; temperate; subartic; hot; rocky"
349:"Vortexian Octal":486:1,25:0,783:1,17:"vine; ice cave; hill; cityscape":"subartic; hot; superheated"
350:"Vortexian Vigesimal":486:0,72:0,758:0,98:"cliff":"tropical; frigid; windy"
351:"Vortexian Prime":486:1,46:0,739:1,26:"grassland; toxic cloudsea; verdant":"subartic; temperate; artificial temperate; artic; windy"
352:"Vortexian Nonal":486:2,16:1,072:1,26:"river; desert; rocky desert; ice cave":"frozen; artic; superheated; subartic"
353:"Pipoltr Octal":5163:1,64:1,218:1,1:"sinkholes":"superheated; windy; arid"
354:"Pipoltr Decimal":5163:1,36:0,806:1,19:"valley":"windy; arid"
355:"Pipoltr Septimal":5163:7,49:1,333:1,78:"jungle":"frigid; hot; windy; temperate; rocky"
356:"Solaraflux Shi":4987:0,9:0,845:1,02:"grassy hill; island":"temperate"
357:"Hannya Cosmos IX":7269:1,36:0,868:1,16:"hill; cliff":"superheated"
358:"Hannya Cosmos XVIII":7269:3,24:1,161:1,41:"verdant; lava river":"superheated; artic; windy"
359:"Sirius Eta":7004:6,52:0,556:2,27:"forest; plain; ice cave; glacier; swamp":"superheated; subartic; humid; hot; rocky"
360:"Sirius Nu":7004:0,97:0,909:1,02:"ash":"artificial temperate; hot; artic"
361:"Sirius Rho":7004:5,8:1,047:1,77:"ice cave; desert; island; plateau; grassy hill; scrubland":"artificial temperate; frozen; frigid; arid; windy; subartic"
362:"Kaus Australis IV":1797:0,52:1,37:0,72:"cave; plateau; bog":"humid; artic; temperate"
363:"Kaus Australis IX":1797:1,09:0,696:1,16:"reef; desert; rainforest":"humid; tropical; superheated"
364:"Lunacraze Shi":9107:4,58:0,694:1,88:"grassland; cave; island; plain; field":"humid; arid; subartic; artificial temperate; windy"
365:"Lunacraze Qi":9107:2,99:1,118:1,39:"hill; river; savanna; vine":"temperate; hot; windy; frozen"
366:"Lunacraze Yi":9107:4,97:1,035:1,69:"cliff; valley":"windy; rocky"
367:"Starlight Haven Tau":8798:0,62:1,063:0,84:"vine; desert; island":"arid; artificial temperate; tropical; frigid"
368:"Koi's Ascendance Quintal":8513:0,52:1,334:0,73:"plateau":"subartic; tropical"
369:"Dofida XVII":8218:8,83:0,851:2,18:"grassy hill; bog":"hot"
370:"Dofida VII":8218:5,97:0,749:2:"lava river; vine":"superheated; windy; tropical; hot"
371:"Dofida XX":8218:3,99:1,049:1,56:"grassy hill; acid pool; river; verdant; mountain":"subartic; windy; humid; frigid"
372:"Dofida XXI":8218:0,42:1,342:0,68:"ice canyon; vine; tundra":"temperate; superheated; windy; subartic"
373:"Cerulean Cryptic Yi":1071:5,46:0,754:1,93:"rock arche; river; cave; grassland; cityscape":"frozen; subartic; temperate"
374:"Cerulean Cryptic Er":1071:0,98:0,869:1,04:"volcano; plateau; fungus forest; acid pool":"subartic; windy; rocky; hot"
375:"Cerulean Cryptic San":1071:4,95:1,206:1,6:"volcano; city; scrubland; lava river; cave; desert; tundra; jungle; rocky island":"frigid; rocky; artificial temperate; arid; tropical; artic; subartic"
376:"Enishi Resonance Secant":4845:1,17:0,71:1,18:"city; rock arche; rocky desert; forest; urban; grassland; cave; cityscape":"frigid; artificial temperate; arid; frozen; temperate"
377:"Enishi Resonance Quintal":4845:3,15:0,79:1,59:"sinkholes; island":"frigid; subartic; hot; rocky; superheated"
378:"Enishi Resonance Prime":4845:1,7:0,736:1,32:"forest":"temperate"
379:"Sadalbari XXII":668:7,99:0,874:2,09:"cityscape; island; jungle; rocky island; desert; hill; rock arche; river":"frozen; subartic; artificial temperate; rocky; hot"
380:"Sadalbari VIII":668:1,28:0,942:1,11:"verdant; swamp; sinkholes; ice cave; mountain; ice canyon":"frozen; tropical; hot; subartic"
381:"Amatsu Echo XVI":4942:3,39:0,702:missing:"river; savanna; mountain":"rocky; humid"
382:"Amatsu Echo I":4942:2,18:1,375:1,17:"barren; field":"frozen; artificial temperate; artic; arid"
383:"Orion's Elegance Quintal":5370:0,98:1,273:0,92:"lakes":"tropical; frozen"
384:"Kaze Horizon Alpha":1998:1,34:1,117:1,06:"mountain; reef; ocean; lakes; tundra; cityscape; lava river; rainforest":"artificial temperate; humid; arid; frozen; subartic; artic"
385:"Kaze Horizon Iota":1998:0,49:1,518:0,69:"volcano; rock arche; cityscape":"artificial temperate; hot; temperate; superheated; windy; rocky; humid"
386:"Heze X":2025:3,66:0,831:1,64:"jungle; rocky canyon":"frigid; superheated; tropical"
387:"Yugen Jiu":4598:7,32:1,218:1,82:"hill":"windy"
388:"Yugen Er":4598:1,44:1,15:1,08:"field; lava river; swamp":"humid; windy; arid"
389:"Yugen Liu":4598:4,56:1,066:1,62:"cityscape":"rocky"
390:"Libertas XV":7444:5,61:1,094:1,72:"plateau":"hot; artificial temperate; windy; arid; artic"
391:"Libertas XXII":7444:2,72:0,682:1,59:"ash; volcano; swamp; desert; lava river; bog; river; ocean":"artic; frozen; tropical; frigid; hot"
392:"Libertas XVIII":7444:missing:0,969:1,26:"plateau":"rocky; superheated; artificial temperate; tropical"
393:"Libertas VI":7444:4,17:1,452:1,42:"cliff; ash; rocky desert; rock arche; fungus forest; tundra":"temperate; hot; frigid; frozen; rocky; subartic; artic"
394:"Quasarionyx Athenian":962:4,24:1,421:1,44:"fungus forest; ocean; rock arche":"tropical; arid; temperate; hot; rocky"
395:"Muphrid Dionian":7378:3,38:0,062:3,8:"forest; tundra; rainforest":"frozen; tropical; artic; frigid"
396:"Sphinx Nebula Zephyrian":8602:5,4:1,222:1,64:"vine; island":"artificial temperate; humid; rocky; subartic; artic"
397:"Fomalhaut Duodecimal":301:1,38:0,938:1,14:"savanna; volcano; grassland; cityscape; lava river":"temperate; superheated; frigid; frozen"
398:"Fomalhaut Secant":301:0,91:0,758:1,06:"tundra; plateau":"frozen"
399:"Fomalhaut Tertial":301:2,98:1,078:1,4:"tundra; cityscape":"rocky; temperate; arid"
400:"Fomalhaut Septimal":301:1,55:1,09:1,12:"plateau; rock arche; lava river; sea; lakes; cityscape":"humid; hot; arid; rocky; windy"
401:"Phantasmal Abyss XXI":4559:1,12:1,071:missing:"island; jungle; grassy hill; city; bog; plateau":"subartic; artificial temperate; frigid; tropical; artic"
402:"Luminastra Si":5800:4,08:0,487:2,03:"field; hill":"windy; frozen; rocky; arid; artic; temperate"
403:"Luminastra Yi":5800:2,83:0,545:1,73:"rocky desert; jungle; scrubland; desert; rocky canyon":"arid; hot; artic"
404:"Bunda Qi":7788:0,53:0,778:0,88:"city":"windy; superheated; hot"
405:"Inazuma XI":9601:2,28:0,849:1,39:"volcano; ice cave; river":"arid; artic; temperate; rocky; tropical"
406:"Asterope Artemian":9822:4,77:0,422:2,24:"cityscape":"temperate; artic"
407:"Tianyi Si":9227:4,94:0,629:1,99:"urban":"artic; windy; subartic; humid; rocky; hot"
408:"Tianyi San":9227:1,4:0,998:1,12:"forest; plain":"frozen; superheated; arid; temperate"
409:"Tianyi Jiu":9227:0,8:1,611:0,79:"acid pool; cave; glacier; fungus forest; rainforest":"frigid; arid; humid; frozen; rocky"
410:"Tianyi Ba":9227:4,53:1,019:1,64:"ocean; acid pool":"windy; humid; superheated"
411:"Tianyi Wu":9227:8,96:0,746:2,29:"ice cave":"hot; frigid; superheated"
412:"Stellaria Whimsy XV":8797:1,29:1,226:1,02:"desert; rock arche; urban; jungle; rocky canyon; acid pool":"artic; windy; hot; temperate; rocky; artificial temperate"
413:"Suhail Oranos":3920:1,44:0,796:1,22:"lava river":"rocky; tropical; temperate; windy; frozen; frigid; superheated"
414:"Abyssal Echoes VIII":201:4,29:1,23:1,52:"river; rocky desert":"artic; frigid; frozen; subartic"
415:"Abyssal Echoes XII":201:4,24:1,53:1,4:"rocky canyon; ice canyon; jungle":"frozen; windy; tropical; frigid; humid; artic"
416:"Abyssal Echoes XXIII":201:1,49:0,977:1,15:"ice cave; desert; glacier":"subartic; superheated"
417:"Abyssal Echoes VII":201:8,12:0,905:2,08:"city; rocky desert; rocky canyon; jungle; grassland":"tropical; temperate; artificial temperate; artic"
418:"Alpheratz Poseidian":8569:3,49:1,455:1,34:"ocean":"frigid; rocky; artificial temperate; windy; arid"
419:"Alpheratz Janusian":8569:6,79:1,137:1,81:"ice canyon; sea; cliff; lava river; rocky island; river":"temperate; tropical; frozen; superheated; rocky"
420:"Thunderhoof Shi":2990:7,58:1,081:1,91:"forest; city; cityscape":"temperate; arid"
421:"Thunderhoof Liu":2990:2,79:0,663:1,61:"urban; island; rocky desert":"artic; arid; hot"
422:"Thunderhoof Yi":2990:4,35:1,308:1,49:"cityscape; jungle; vine; hill":"windy; frozen; humid; hot; arid; artic"
423:"Tōku Echoes Hadean":747:1,35:0,897:1,15:"ocean; acid pool":"windy; artificial temperate; rocky; subartic; temperate"
424:"Tōku Echoes Selenean":747:1,23:1,559:0,92:"ocean; plain; lava river":"temperate; frigid; arid"
425:"Algol Tau":8671:4,88:1,271:1,57:"rock arche; desert; forest; lakes; plateau; ash; hill; savanna":"frigid; frozen; hot; rocky; artic"
426:"Algol Kappa":8671:6,25:1,122:1,77:"river; ocean":"windy; frigid"
427:"Yoru Ascendance IX":3595:2,33:1,211:missing:"river":"tropical"
428:"Asahi Horizon XXI":259:1,44:1,026:1,12:"hill; city; cityscape":"windy; tropical; artificial temperate; temperate; superheated; frigid"
429:"Asahi Horizon XI":259:1,64:0,682:1,34:"city; ocean; plain; river; bog":"artic; hot; frozen; subartic; windy; artificial temperate; superheated"
430:"Asahi Horizon IV":259:1,4:0,642:1,3:"rocky island; tundra":"rocky; superheated; artic; arid; temperate"
431:"Asahi Horizon XXIV":259:3,91:1,11:1,52:"tundra; fungus forest; plain; sea":"artificial temperate; subartic; arid; humid; temperate"
432:"Schedar Shi":101:8,4:1,094:1,97:"scrubland":"humid; frigid; arid; artificial temperate"
433:"Schedar San":101:1,82:0,583:1,46:"desert; grassland; lakes; vine; rock arche":"frozen; humid; rocky"
434:"Terebellum I":5642:1,5:0,942:1,17:"cave; cityscape; tundra; ice cave; ice canyon":"frozen; artificial temperate; temperate; arid"
435:"Parumleo Jiu":6468:2,5:1,139:1,3:"cityscape; ice canyon":"humid; rocky; artic; artificial temperate"
436:"Parumleo Shi":6468:3,36:0,901:1,55:"jungle; lakes; vine; valley":"subartic; hot; artic"
437:"Alcor Asclepian":9297:3,02:1,005:1,44:"reef":"frigid; windy"
438:"Alcor Dionysios":9297:3,2:1,154:1,4:"valley":"artificial temperate; humid; superheated; windy"
439:"Alcor Gaios":9297:2,57:1,422:1,22:"rocky canyon":"arid; artificial temperate"
440:"Alcor Artemian":9297:2,96:0,931:1,47:"jungle; city; grassy hill; urban":"artic; subartic; hot; humid; rocky"
441:"Alcor Olympios":9297:2,52:1,286:1,25:"desert; cave; valley; ice canyon":"rocky; subartic; artic; frozen; windy"
442:"Astral Whisper Hecatean":3948:2,47:1,327:1,23:"city; grassland; fungus forest; rainforest":"humid; artificial temperate; frozen; artic; subartic"
443:"Ebon Cosmos Decimal":850:7,55:0,757:2,15:"reef; rocky desert; river; urban; cityscape; cave; rocky island":"arid; humid; superheated; artificial temperate; rocky"
444:"Ebon Cosmos Sextant":6147:7,87:0,81:2,13:"canyons; jungle; plain; rainforest; savanna":"frozen; subartic; superheated"
445:"Ebon Cosmos Octal":850:6,75:0,921:1,94:"river":"hot"
446:"Ebon Cosmos Duodecimal":850:2,5:1,076:1,32:"rocky island; lava river; vine":"artificial temperate; superheated"
447:"Ebon Cosmos Septimal":850:2,81:0,889:1,47:"cliff; canyons; savanna":"humid; subartic; superheated"
448:"Starglow Haven Decimal":6620:2,22:0,94:1,33:"verdant; savanna":"frozen; windy; subartic; superheated; tropical; artificial temperate; rocky"
449:"Starglow Haven Tertial":6620:0,92:1,146:0,93:"valley; plateau; grassy hill":"arid; humid; temperate; subartic; frozen"
450:"Tonatiuh Beta":7133:2,43:0,846:1,42:"toxic cloudsea; savanna":"humid; frozen; superheated; artificial temperate; windy; arid"
451:"Tonatiuh Xi":7133:1,74:1,358:1,09:"lakes; cave; bog; glacier; plateau; field":"temperate; subartic; arid; rocky"
452:"Zenitharian Nu":8044:missing:1,552:1,22:"ocean; canyons; island; plateau; vine":"temperate; artificial temperate; artic; windy; superheated; arid"
453:"Zenitharian Xi":8044:3,95:0,849:1,67:"river; canyons; rocky island; hill; rock arche; ocean; scrubland":"artificial temperate; superheated; rocky; temperate; arid"
454:"Quanticara Er":6651:5,44:0,874:1,84:"plateau":"tropical; windy; temperate; artic; artificial temperate; arid"
455:"Quanticara Wu":6651:0,98:0,773:1,08:"grassland; cave; tundra; vine; sinkholes":"subartic; superheated; windy; humid"
456:"Seth's Enigma Hermesios":7786:1,87:0,927:1,26:"lava river; cave; cliff":"superheated; rocky; artic; frigid; temperate"
